id,dut,categories,test,description,inputs,result,messages
53,campus-a-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.14 - Peer: campus-a-leaf1b,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.244.14
54,campus-a-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.15 - Peer: campus-a-leaf2a,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.244.15
55,campus-a-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.16 - Peer: campus-a-leaf2b,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.244.16
56,campus-a-leaf1a,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,NTP status mismatch - Expected: synchronised Actual: unsynchronised
57,campus-a-leaf1a,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
58,campus-a-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: campus-a-spine1 (IP: 192.168.244.11),PASS,
59,campus-a-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: campus-a-spine2 (IP: 192.168.244.12),PASS,
60,campus-a-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-leaf1a (IP: 10.255.254.24),FAIL,AFI: ipv4 SAFI: unicast VRF: default Peer: 10.255.254.24 - Incorrect session state - Expected: Established Actual: Active
61,campus-a-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-spine1 (IP: 172.31.254.52),PASS,
62,campus-a-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-spine2 (IP: 172.31.254.54),PASS,
63,campus-a-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1 - Remote: campus-a-spine1 Ethernet6,PASS,
64,campus-a-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2 - Remote: campus-a-spine2 Ethernet6,PASS,
65,campus-a-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3 - Remote: campus-a-leaf1a Ethernet3,FAIL,Port: Ethernet3 Neighbor: campus-a-leaf1a Neighbor Port: Ethernet3 - No LLDP neighbors
66,campus-a-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4 - Remote: campus-a-leaf1a Ethernet4,FAIL,Port: Ethernet4 Neighbor: campus-a-leaf1a Neighbor Port: Ethernet4 - No LLDP neighbors
67,campus-a-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet5 - Remote: campus-a-leaf2c Ethernet2,FAIL,Port: Ethernet5 Neighbor: campus-a-leaf2c Neighbor Port: Ethernet2 - No LLDP neighbors
68,campus-a-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6 - Remote: campus-a-leaf2d Ethernet2,FAIL,Port: Ethernet6 Neighbor: campus-a-leaf2d Neighbor Port: Ethernet2 - No LLDP neighbors
69,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.14) - Destination: campus-a-leaf1a Loopback0 (IP: 192.168.244.13),FAIL,Host: 192.168.244.13 Source: 192.168.244.14 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
70,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.14) - Destination: campus-a-leaf1b Loopback0 (IP: 192.168.244.14),PASS,
71,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.14) - Destination: campus-a-leaf2a Loopback0 (IP: 192.168.244.15),FAIL,Host: 192.168.244.15 Source: 192.168.244.14 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
