Device,Test Name,Test Status,Message(s),Test description,Test category
campus-a-leaf2a,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
campus-a-leaf2a,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
campus-a-leaf2a,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
campus-a-leaf2a,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
campus-a-leaf2a,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
campus-a-leaf2a,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
campus-a-leaf2a,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
campus-a-leaf2a,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
campus-a-leaf2a,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
campus-a-leaf2a,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
campus-a-leaf2a,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
campus-a-leaf2a,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
campus-a-leaf2a,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
campus-a-leaf2a,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
campus-a-leaf2a,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
campus-a-leaf2a,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
campus-a-leaf2a,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
campus-a-leaf2a,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jan 30 10:09:50 campus-a-leaf2a ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1419) -- Master ProcMgr (PID=1419) exiting.
 Jan 30 10:09:51 campus-a-leaf2a Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1842) at tbl://stpTxRxListen/+n closed by peer (EOF)
 Jan 30 10:09:51 campus-a-leaf2a Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1842))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
campus-a-leaf2a,VerifyMlagConfigSanity,failure,MLAG config-sanity found in global configuration,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
campus-a-leaf2a,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
campus-a-leaf2a,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
campus-a-leaf2a,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
campus-a-leaf2a,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
campus-a-leaf2a,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
campus-a-leaf2a,VerifyCoredump,success,,Verifies there are no core dump files.,System
campus-a-leaf2a,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
campus-a-leaf2a,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
campus-a-leaf2a,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
campus-a-leaf2a,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: unsynchronised,Verifies if NTP is synchronised.,System
campus-a-leaf2a,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
campus-a-leaf2a,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
campus-a-leaf2b,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
campus-a-leaf2b,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
campus-a-leaf2b,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
campus-a-leaf2b,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
campus-a-leaf2b,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
campus-a-leaf2b,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
campus-a-leaf2b,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
campus-a-leaf2b,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
campus-a-leaf2b,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
campus-a-leaf2b,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
campus-a-leaf2b,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
campus-a-leaf2b,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
campus-a-leaf2b,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
campus-a-leaf2b,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
campus-a-leaf2b,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
campus-a-leaf2b,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
campus-a-leaf2b,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
campus-a-leaf2b,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jan 30 10:09:52 campus-a-leaf2b ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1423) -- Master ProcMgr (PID=1423) exiting.
 Jan 30 10:09:53 campus-a-leaf2b Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1846) at tbl://stpTxRxListen/+n closed by peer (EOF)
 Jan 30 10:09:53 campus-a-leaf2b Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1846))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
campus-a-leaf2b,VerifyMlagConfigSanity,failure,MLAG config-sanity found in global configuration,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
campus-a-leaf2b,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
campus-a-leaf2b,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
campus-a-leaf2b,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
campus-a-leaf2b,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
campus-a-leaf2b,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
campus-a-leaf2b,VerifyCoredump,success,,Verifies there are no core dump files.,System
campus-a-leaf2b,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
campus-a-leaf2b,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
campus-a-leaf2b,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
campus-a-leaf2b,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: unsynchronised,Verifies if NTP is synchronised.,System
campus-a-leaf2b,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
campus-a-leaf2b,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
campus-a-leaf2c,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
campus-a-leaf2c,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
campus-a-leaf2c,VerifyLLDPNeighbors,failure,Port: Ethernet1 Neighbor: campus-a-leaf1a Neighbor Port: Ethernet5 - No LLDP neighbors - Port: Ethernet2 Neighbor: campus-a-leaf1b Neighbor Port: Ethernet5 - No LLDP neighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
campus-a-leaf2c,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
campus-a-leaf2c,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
campus-a-leaf2c,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
campus-a-leaf2c,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
campus-a-leaf2c,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
campus-a-leaf2c,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
campus-a-leaf2c,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
campus-a-leaf2c,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
campus-a-leaf2c,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
campus-a-leaf2c,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
